rank,filename,width,height,style,complexity,sharpness,annotation_value_score,has_wall,has_door,has_window,has_bedroom,has_living_room,has_kitchen,has_bathroom,has_bed,has_wc,has_sink,has_stove,visible_classes,notes
11,628d81db0bbddc6884c25a85ddd7e278.jpg,550,956,furnished_color,high,5505.1,184.98,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
12,8fba8948-8b12-4fa9-8601-1224b694c107.jpg,564,772,furnished_color,high,4065.1,184.79,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
13,8c6c7571c8fa3d65b33b60611626d13a.jpg,564,740,line_drawing,high,5587.7,184.54,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
14,6549ac644ce535a6039b8b8bfdc68f6e.jpg,674,900,furnished_color,high,5986.8,183.19,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
15,8403e0d1-923a-4474-b7db-3ad8acf0863a.jpg,1080,935,furnished_color,high,2900.1,182.19,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
16,8906018545e276d2e21e5220c62074f1.jpg,736,941,line_drawing,high,4593.9,181.83,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
17,f9312d16-1639-4a4e-b8f5-dceb5b0a43e8.jpg,638,688,furnished_color,high,3637.0,181.26,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
18,65fce43ecf1817bc941558229757c178.jpg,736,1026,furnished_color,high,2958.0,180.46,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
19,714aced82de7341fa2677af01c144ec9.jpg,735,1048,furnished_color,high,2790.6,179.21,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
20,d34f12f415f2febef838494c8bbc7472.jpg,735,776,line_drawing,high,4344.6,179.16,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
21,34e2afcc-abab-450e-8c36-61250c881347.jpg,550,617,furnished_color,high,9364.3,178.07,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
22,69a35f1cab485159de27a6085a5a9813.jpg,564,582,furnished_color,high,5580.8,177.97,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
23,0b79a51a-bede-49d3-b746-44351f4fd1ba.jpg,1021,1280,line_drawing,high,2662.0,177.65,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
24,2a0e67cffb7acbf83547afdac272caa5.jpg,563,768,line_drawing,high,5235.9,177.52,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
25,b92184c9a460e92fd303799fa50f750b.jpg,563,471,furnished_color,high,5209.8,175.31,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
